,COMM_FREIGHT,RETAIL_SALES,CPI,WAGE
1999-01-31,277.7,121.8,,1167.0
1999-02-28,252.1,122.9,,1199.0
1999-03-31,291.4,134.3,,1385.0
1999-04-30,277.1,135.4,,1423.0
1999-05-31,282.1,138.9,,1472.0
1999-06-30,271.9,142.2,,1626.0
1999-07-31,276.2,145.8,,1618.0
1999-08-31,281.2,157.6,,1608.0
1999-09-30,275.2,161.2,,1684.0
1999-10-31,292.8,167.1,,1716.0
1999-11-30,288.9,170.2,,1789.0
1999-12-31,305.6,200.0,,2283.0
2000-01-31,296.6,170.3,,1830.0
2000-02-29,286.1,168.1,,1839.0
2000-03-31,303.4,179.3,,2018.0
2000-04-30,287.5,177.8,,2039.0
2000-05-31,293.4,179.8,,2101.0
2000-06-30,286.2,185.2,,2294.0
2000-07-31,292.0,190.2,,2302.0
2000-08-31,290.0,202.6,,2289.0
2000-09-30,285.8,205.6,,2367.0
2000-10-31,307.8,214.3,,2425.0
2000-11-30,302.1,220.5,,2508.0
2000-12-31,311.0,258.6,,3025.0
2001-01-31,301.0,214.4,102.8,2733.0
2001-02-28,280.7,216.4,102.3,2655.0
2001-03-31,311.0,234.4,101.9,2964.0
2001-04-30,299.1,237.7,101.8,2923.0
2001-05-31,307.7,244.0,101.8,3054.0
2001-06-30,297.3,247.9,101.6,3284.0
2001-07-31,299.4,250.5,100.5,3364.0
2001-08-31,302.5,266.3,100.0,3376.0
2001-09-30,299.9,266.5,100.6,3405.0
2001-10-31,326.9,277.8,101.1,3515.0
2001-11-30,313.7,283.8,101.4,3578.0
2001-12-31,311.3,330.3,101.6,4541.0
2002-01-31,311.4,270.9,103.1,3760.0
2002-02-28,297.9,268.0,101.2,3725.0
2002-03-31,328.0,289.1,101.1,4031.0
2002-04-30,315.6,293.6,101.2,4110.0
2002-05-31,323.5,291.9,101.7,4187.0
2002-06-30,312.0,298.7,100.5,4460.0
2002-07-31,321.3,311.1,100.7,4597.0
2002-08-31,321.7,325.3,100.1,4511.0
2002-09-30,322.0,327.1,100.4,4521.0
2002-10-31,341.7,340.5,101.1,4646.0
